Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2012-03,Cumbria Constabulary,Cumbria Constabulary,300659,506029,On or near Beck Close,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297148,518020,On or near Swingpump Lane,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351536,491917,On or near Kirkbarrow,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319855,467992,On or near Annan Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302061,514937,On or near Fletcher Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300555,528630,On or near Wilson Street,Burglary,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302514,534696,On or near Pedestrian Subway,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320045,468822,On or near Strand,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320079,470479,On or near Reservoir Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320122,468887,On or near Church Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320222,470116,On or near Stafford Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319448,469782,On or near Bath Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320372,470248,On or near Warwick Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319418,470083,On or near Chatsworth Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320602,469135,On or near The Court,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302436,514855,On or near Orchard Place,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301099,508981,On or near Thorny Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328696,478351,On or near Market Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300614,528590,On or near Portland Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300291,528610,On or near Central Square,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,300308,528322,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,302105,515047,On or near Quarry Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,336758,555573,On or near Birdoswald Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,322639,473945,On or near Market Place,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340422,553785,On or near Mount Pleasant Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339934,558052,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338362,560537,On or near Crindledyke Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338149,555303,On or near Orton Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299027,517740,On or near Jubilee Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,322694,525682,On or near A66,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299210,528515,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,350380,530168,On or near Castletown Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320577,470872,On or near Oxford Place,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351644,530339,On or near Bus/Coach Station,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351913,490888,On or near Natland Mill Beck Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352314,493218,On or near Stockgate,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342233,555152,On or near Holywell Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338843,556071,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339961,556028,On or near Shopping Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339934,558052,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,339934,558052,On or near Supermarket,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340283,496874,On or near St Martin'S Place,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338108,555484,On or near Lichen Grove,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297080,516032,On or near Coniston Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341639,554054,On or near Baird Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323286,474087,On or near Dale Terrace,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,301062,510925,On or near Wyndham Way,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337641,554109,On or near A595,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340299,558072,On or near Lansdowne Court,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340525,553698,On or near Henderson Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,329058,478715,On or near Ford Park Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340048,556329,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319519,471820,On or near Broad Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,311359,530066,On or near Albemarle Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,303807,536398,On or near Lawson Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,303723,500974,On or near South Parade,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,318592,467988,On or near Jason Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299716,528164,On or near Sports/Recreation Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,299627,527046,On or near Westfield Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297818,515420,On or near Ashness Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297675,518262,On or near Scotch Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,321017,469128,On or near Kent Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320674,469045,On or near Mosley Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,320642,469300,On or near Mardale Grove,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317871,468223,On or near Andreas Avenue,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319852,472069,On or near Angle Meadow Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319785,469237,On or near Slater Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319765,472111,On or near High Cliff,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319693,469613,On or near Vernon Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319521,470096,On or near Granville Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,297170,518137,On or near East Strand,Anti-social behaviour,
